"gene_id","log2fc","pvalue","padj"
"ENSG00000268903",0.370396804521838,0.164935609768622,0.229938958182824
"ENSG00000279457",-0.56344497129467,0.0129078997187332,0.0278517513356469
"ENSG00000225972",2.29605691713584,0.00591243053437594,0.0147721791254097
"ENSG00000225630",-0.939810088899764,0.191128012150852,0.260536006884054
"ENSG00000237973",2.37385735332241,0.0422896856883744,0.0736485825728972
"ENSG00000248527",0.033076743814435,0.826835695648273,0.865062312779265
"ENSG00000198744",-3.37937355860871,0.334163032180176,0.414889287356574
"ENSG00000228327",-0.559087457693648,0.00127630731113978,0.0042363626301784
"ENSG00000237491",-0.340995173790826,0.033868883632155,0.0611648616361324
"ENSG00000177757",0.0716955253920228,0.774166189735244,0.821178433805918
"ENSG00000228794",-0.765573627166632,1.86570588927819e-09,2.57834991295194e-07
"ENSG00000225880",0.0485738278567444,0.719177816856024,0.776260901081262
"ENSG00000288531",-0.110476536361569,0.841540250115524,0.877072443839842
"ENSG00000188976",-0.297611021194078,0.000729478814513125,0.00268144240067945
"ENSG00000187961",-0.34351959017986,0.00363350643930344,0.00989149069160049
"ENSG00000187583",0.680731905326992,0.000245324495704156,0.00111738471577871
"ENSG00000188290",0.155868893921382,0.62536012600445,0.695221685048505
"ENSG00000187608",1.71255564582748,0.152713455444501,0.215915142768565
"ENSG00000188157",0.351009840815192,0.213233384021516,0.285843754542043
"ENSG00000217801",0.0874628412503397,0.811902776452534,0.852495985408637
"ENSG00000131591",-0.439429245780073,0.000112930877540879,0.000605252712012331
"ENSG00000186891",-0.334094426267097,0.198959744638902,0.269442092572285
"ENSG00000186827",-0.153667980754509,0.463922324637531,0.544419435433142
"ENSG00000078808",-0.00872529209152315,0.90837486694599,0.929772665563862
"ENSG00000176022",-0.509035376752786,5.91096168341859e-06,6.25007050379505e-05
"ENSG00000160087",-0.0894615628772008,0.324753116849789,0.405279762012162
"ENSG00000162572",-0.552826733504193,0.0118086479298259,0.0258655469791895
"ENSG00000131584",-0.252713094886806,0.0283217829913347,0.0528849867553359
"ENSG00000169972",-0.134861715700514,0.193298791196545,0.262904357466854
"ENSG00000127054",-0.124823505241598,0.0804861402471921,0.125930749937403
"ENSG00000224051",-0.146480752760973,0.304359066270576,0.384663889956225
"ENSG00000169962",0.43523347045061,0.0596725052824995,0.0980125404374534
"ENSG00000107404",-0.352206988546951,0.00333011064519283,0.00921344241477399
"ENSG00000162576",-1.47453851102751,0.0199900565544163,0.0400006448651939
"ENSG00000175756",0.191090785245401,0.0499258629953332,0.0843307600155698
"ENSG00000221978",-0.820360504763929,7.05860266930113e-08,2.6012929883852e-06
"ENSG00000224870",-0.609701080138482,0.000110069866154506,0.000594310173220323
"ENSG00000242485",0.0700119379072112,0.535534734693211,0.613078049812456
"ENSG00000215915",-0.383957127926023,0.0893930043542032,0.137641141905393
"ENSG00000160072",-0.395664182637808,0.00111010625906043,0.00378833968501952
"ENSG00000197785",-0.0772317149514383,0.508280187620373,0.586688869325733
"ENSG00000160075",0.0380048444666532,0.575464772321516,0.650480568570106
"ENSG00000215014",0.0226265692018481,0.858474125630535,0.890601972084348
"ENSG00000228594",-0.212825074089094,0.171942167341288,0.238170176997817
"ENSG00000286989",-0.17218097538268,0.358012805598707,0.43856290639239
"ENSG00000272106",-0.459570203838494,1.33530599102819e-05,0.000115724073607075
"ENSG00000197530",-0.236643376618686,0.00805707035433917,0.019007503843702
"ENSG00000248333",-0.0621765149687793,0.59266694636443,0.665821340972855
"ENSG00000189339",-0.641056579264717,0.000110407564556307,0.000595777802171271
"ENSG00000269737",-0.391269333345894,0.045858993386798,0.0787440840702429
"ENSG00000008128",-0.0304726706325545,0.825487117222727,0.864254180373023
"ENSG00000268575",-0.331891338011623,0.0438458381482637,0.0758395005058189
"ENSG00000215790",-1.0742646125031,0.00102624033899448,0.00354419577322911
"ENSG00000008130",-0.374194888319493,0.00796384189589912,0.0188213482505269
"ENSG00000078369",-0.114122347784551,0.122483987131415,0.179331655901217
"ENSG00000067606",-0.650442313379481,0.000110016390224041,0.000594276891439657
"ENSG00000182873",-0.790858602161408,0.000329716700154647,0.00141014683067767
"ENSG00000162585",-0.089286100834723,0.262881358622254,0.340233664523576
"ENSG00000157933",-0.30008776170528,0.0594611028855554,0.0977365543782686
"ENSG00000116151",-0.486295150699738,0.00108352917666555,0.00371290586651003
"ENSG00000157916",-0.0759721915927216,0.336685959201495,0.417364636473214
"ENSG00000157911",-0.19076724770143,0.0630206130856273,0.102593057095634
"ENSG00000149527",-0.64062763581663,0.00718246712399731,0.017290759149391
"ENSG00000157881",-0.407094259517847,0.0010897387699012,0.00373013229549732
"ENSG00000272449",-0.712987950004702,3.82190516614074e-05,0.000260739230906306
"ENSG00000238164",-0.730529808893961,0.000192937230039158,0.000920786362906999
"ENSG00000157873",-0.47066853885601,3.66317690707589e-06,4.36828077503094e-05
"ENSG00000228037",-0.367352149316588,0.0694476506385174,0.111313667151698
"ENSG00000157870",-0.477059434486443,0.000634162892138334,0.00238612864926001
"ENSG00000215912",0.137586320676176,0.622832020235309,0.693241793463519
"ENSG00000162591",-1.08545576267758,5.27027110212902e-06,5.73296455819869e-05
"ENSG00000158109",-0.447977927855576,9.29777261075029e-05,0.000520390283843446
"ENSG00000116213",-0.31569324630086,0.000178417415554339,0.000866434081138727
"ENSG00000078900",1.83059820265675,0.000221174435813106,0.00103029662613116
"ENSG00000227372",-0.663662506675459,9.95730295412682e-08,3.40427835300632e-06
"ENSG00000235169",2.18649221718564,0.0360328289610138,0.0644309954882746
"ENSG00000130764",-0.368882289657998,0.00035984320069599,0.00150831963980278
"ENSG00000116198",-0.397234398336079,3.28685616250065e-06,4.02200017464102e-05
"ENSG00000169598",-0.388588750379389,0.000264200675041781,0.00118623320450726
"ENSG00000198912",-0.319969682733112,0.0135330695338875,0.0289198083942565
"ENSG00000131697",-0.438893511248923,0.000214525645539351,0.00100556107194419
"ENSG00000069424",-0.435615032923066,0.000979844498774673,0.00341548890147468
"ENSG00000116251",-0.448887581770263,0.000928600091576574,0.00326791817144964
"ENSG00000158286",-1.00260885250276,0.000427521925632634,0.00173216114384884
"ENSG00000116237",0.0884063342150296,0.477954321144318,0.557849156978639
"ENSG00000158292",-0.413458473002706,0.0578698239543255,0.0954935544164241
"ENSG00000097021",1.29069925856431,1.00910173059527e-05,9.36268329216427e-05
"ENSG00000187017",-0.657495543669397,0.0277982785408387,0.0520572074251771
"ENSG00000215788",-0.998637896004982,1.21881600248297e-05,0.000107880947290482
"ENSG00000171680",-0.908185134209954,0.00437265072212808,0.0115103170627714
